alpha,n_clients,seed,acc_relational,acc_intrinsic,gap,epochs_ce,epochs_ssl,time_total,file
0.05,5,42,0.423,0.3762,0.04680000000000001,100,200,15956.366912126541,grid_a0.05_k5_s42.json
0.05,10,42,0.3623,0.4225,-0.060199999999999976,100,200,17422.72021484375,grid_a0.05_k10_s42.json
0.05,20,42,0.207,0.4797,-0.27270000000000005,100,200,20810.408708572388,grid_a0.05_k20_s42.json
0.05,50,42,0.1079,0.3949,-0.287,100,200,33128.11153125763,grid_a0.05_k50_s42.json
0.1,5,42,0.5384,0.4396,0.0988,100,200,15948.897092580795,grid_a0.1_k5_s42.json
0.1,10,42,0.4267,0.4405,-0.013799999999999979,100,200,31783.310797929764,grid_a0.1_k10_s42.json
0.1,20,42,0.3648,0.455,-0.0902,100,200,21293.27857685089,grid_a0.1_k20_s42.json
0.1,50,42,0.2741,,,,,,grid_a0.1_k50_s42.json
0.1,100,42,0.1802,,,,,,grid_a0.1_k100_s42.json
0.2,5,42,0.6609,0.5509,0.1100000000000001,100,200,15911.99012708664,grid_a0.2_k5_s42.json
0.2,10,42,0.487,0.4893,-0.0023000000000000242,100,200,32351.62214422226,grid_a0.2_k10_s42.json
0.2,20,42,0.4221,0.4881,-0.066,100,200,21056.69847369194,grid_a0.2_k20_s42.json
0.2,50,42,0.2669,0.5152,-0.24829999999999997,100,200,21998.27010345459,grid_a0.2_k50_s42.json
0.2,100,42,0.1837,,,,,,grid_a0.2_k100_s42.json
0.3,5,42,0.6714,0.5961,0.07530000000000003,100,200,15815.431718111038,grid_a0.3_k5_s42.json
0.3,10,42,0.5305,0.4907,0.03979999999999995,100,200,31586.98854136467,grid_a0.3_k10_s42.json
0.3,20,42,0.4306,0.4554,-0.024800000000000044,100,200,21659.975089788437,grid_a0.3_k20_s42.json
0.3,50,42,0.3619,0.4635,-0.10160000000000002,100,200,22878.902547597885,grid_a0.3_k50_s42.json
0.3,100,42,0.2098,,,,,,grid_a0.3_k100_s42.json
0.5,5,42,0.7544,0.3936,0.36079999999999995,100,200,15801.883877277374,grid_a0.5_k5_s42.json
0.5,10,42,0.6103,0.4843,0.12599999999999995,100,200,31037.85525894165,grid_a0.5_k10_s42.json
0.5,20,42,0.5291,0.4146,0.11449999999999999,100,200,22005.624737501144,grid_a0.5_k20_s42.json
0.5,50,42,0.345,0.3943,-0.04930000000000001,100,200,22318.551948785782,grid_a0.5_k50_s42.json
1.0,5,42,0.7853,0.4213,0.364,100,200,8.726119995117188e-05,grid_a1.0_k5_s42.json
1.0,10,42,0.6935,0.4788,0.2147,100,200,30770.074866056442,grid_a1.0_k10_s42.json
1.0,20,42,0.5823,0.4262,0.15610000000000002,100,200,31495.14368867874,grid_a1.0_k20_s42.json
1.0,50,42,0.3964,0.4067,-0.010300000000000031,100,200,20689.903175354004,grid_a1.0_k50_s42.json
