alpha,K,n_seeds,rel_mean,rel_std,int_mean,int_std,gap_mean,gap_std
0.05,5,1,0.423,0.0,0.3762,0.0,0.04680000000000001,0.0
0.05,10,1,0.3623,0.0,0.4225,0.0,-0.060199999999999976,0.0
0.05,20,1,0.207,0.0,0.4797,0.0,-0.27270000000000005,0.0
0.05,50,1,0.1079,0.0,0.3949,0.0,-0.287,0.0
0.1,5,1,0.5384,0.0,0.4396,0.0,0.0988,0.0
0.1,10,1,0.4267,0.0,0.4405,0.0,-0.013799999999999979,0.0
0.1,20,1,0.3648,0.0,0.455,0.0,-0.0902,0.0
0.1,50,1,0.2741,0.0,,0.0,,0.0
0.1,100,1,0.1802,0.0,,0.0,,0.0
0.2,5,1,0.6609,0.0,0.5509,0.0,0.1100000000000001,0.0
0.2,10,1,0.487,0.0,0.4893,0.0,-0.0023000000000000242,0.0
0.2,20,1,0.4221,0.0,0.4881,0.0,-0.066,0.0
0.2,50,1,0.2669,0.0,0.5152,0.0,-0.24829999999999997,0.0
0.2,100,1,0.1837,0.0,,0.0,,0.0
0.3,5,1,0.6714,0.0,0.5961,0.0,0.07530000000000003,0.0
0.3,10,1,0.5305,0.0,0.4907,0.0,0.03979999999999995,0.0
0.3,20,1,0.4306,0.0,0.4554,0.0,-0.024800000000000044,0.0
0.3,50,1,0.3619,0.0,0.4635,0.0,-0.10160000000000002,0.0
0.3,100,1,0.2098,0.0,,0.0,,0.0
0.5,5,1,0.7544,0.0,0.3936,0.0,0.36079999999999995,0.0
0.5,10,1,0.6103,0.0,0.4843,0.0,0.12599999999999995,0.0
0.5,20,1,0.5291,0.0,0.4146,0.0,0.11449999999999999,0.0
0.5,50,1,0.345,0.0,0.3943,0.0,-0.04930000000000001,0.0
1.0,5,1,0.7853,0.0,0.4213,0.0,0.364,0.0
1.0,10,1,0.6935,0.0,0.4788,0.0,0.2147,0.0
1.0,20,1,0.5823,0.0,0.4262,0.0,0.15610000000000002,0.0
1.0,50,1,0.3964,0.0,0.4067,0.0,-0.010300000000000031,0.0
